id,title,description,date_created,date_modified,date_published,doi,tags,preprint_link,contributors,subjects,matching_terms
d8egu_v1,Mental Health Crises Among Special Forces Members,"Special Forces personnel across all military branches are subjected to unique operational demands and high-stress environments, increasing their su...",2025-04-19T02:38:09.867298,2025-04-19T02:50:22.148960,2025-04-19T02:48:09.326583,10.5281/zenodo.15244044,"adult ADHD, mental health, military ADHD, Navy SEALs, special forces, undiagnosed",https://osf.io/preprints/psyarxiv/d8egu_v1/,N/A,N/A,"adhd, adult"
jbwck_v1,Evidence of Preliminary Efficacy from a Non-Randomized Open Trial of  Valued Living: An Acceptance and Commitment Therapy-Based Digital Mental Health Intervention for Autistic Adults,"Digital mental health interventions (DMHI) are scalable, accessible, and easily contextualized to the needs of autistic adults, making them a promi...",2025-04-14T18:25:32.705889,2025-04-14T18:44:56.077459,2025-04-14T18:35:30.409327,,"Acceptance and Commitment Therapy, Autistic Adults, Digital Mental Health Intervention, Quality of Life",https://osf.io/preprints/psyarxiv/jbwck_v1/,N/A,N/A,"autis, adult"
jy948_v3,Predictive Responses in the Theory of Mind Network: a Comparison of Autistic and Non-autistic Adults,"Social-cognitive processes, particularly Theory of Mind (ToM) reasoning, appear to differ between autistic and non-autistic individuals. This has b...",2025-04-14T17:00:55.968791,2025-04-17T04:04:37.248385,2025-04-14T17:01:52.273246,,,https://osf.io/preprints/psyarxiv/jy948_v3/,N/A,N/A,"autis, app, adult"
ua59e_v1,The role of psychological strengths in positive life outcomes in adults with ADHD,BACKGROUND Strengths-based approaches are increasingly common in neurodevelopmental research but the positive characteristics that may be features ...,2025-04-11T14:17:57.505135,2025-04-11T16:10:03.079573,2025-04-11T16:07:53.277212,,"ADHD, attention deficit hyperactivity disorder, mental health, neurodevelopmental conditions, neurodiversity, positive psychology, psychological strenths, quality of life, strengths, wellbeing",https://osf.io/preprints/psyarxiv/ua59e_v1/,N/A,N/A,"adhd, attention deficit, app, adult"
92sc7_v1,Protocol for a feasibility study and randomised pilot trial of the ICF Core Sets for Autism Strength and Needs Assessment in NHS diagnostic services,"Introduction: There are approximately 700,000 Autistic people in the United Kingdom and Autism is increasingly being diagnosed in adulthood. Diagno...",2025-04-07T10:51:47.303437,2025-04-07T12:35:22.028014,2025-04-07T11:14:34.224792,,"autism, post-diagnostic support",https://osf.io/preprints/psyarxiv/92sc7_v1/,N/A,N/A,"autis, app, adult"
5kbg2_v4,Is Emotion Dysregulation Disorder-Specific in ADHD?  Exploring Mechanisms Linking ADHD Traits and Mental Health,"Objective: Attention-deficit/hyperactivity disorder (ADHD) is a neurodevelopmental condition characterized by inattention, hyperactivity, and impul...",2025-04-06T06:27:32.306539,2025-04-06T06:31:01.831322,2025-04-06T06:28:22.026219,,"ADHD, Adults, Emotion Dysregulation",https://osf.io/preprints/psyarxiv/5kbg2_v4/,N/A,N/A,"adhd, adult"
yru4f_v2,The Impact of Autism-Affirming and Stigmatizing Cues on Autistic Adults' Efforts to Camouflage: A Social Psychological Demonstration,"Background: Camouflaging is a strategy widely used by autistic individuals to conceal their autistic behaviors in response to stigma; however, it i...",2025-03-27T14:47:57.706559,2025-03-27T21:03:40.716940,2025-03-27T14:55:03.534888,,,https://osf.io/preprints/psyarxiv/yru4f_v2/,N/A,N/A,"autis, adult"
ukqs9_v1,Perceptual decision-making in autistic and non-autistic adults and relationship with autism- and ADHD-related traits,"Autistic individuals respond to sensory information in perceptual tasks differently than non-autistic individuals. However, it is unclear which com...",2025-03-27T11:52:45.452120,2025-03-27T12:18:41.859781,2025-03-27T12:07:53.223101,,"autism, decision-making, diffusion modelling, neurodiversity",https://osf.io/preprints/psyarxiv/ukqs9_v1/,N/A,N/A,"adhd, autis, adult"
k4ey5_v2,"“These questions are geared towards male autistics, not female… I found they never quite reflected my experience”: Assessing the Efficacy of Autism Questionnaires in Identifying Adult Autistic Women",Traditional measures of autistic traits such as the Autism Quotient (AQ) are argued to be male biased and may lead to missed or mis-diagnosed autis...,2025-03-26T12:31:19.224983,2025-03-28T09:42:02.971010,2025-03-26T13:20:23.252521,,"autism, autism assessment questionnaires, autism in females, autistic women",https://osf.io/preprints/psyarxiv/k4ey5_v2/,N/A,N/A,"autis, adult"
g8kzc_v1,A Dynamical Systems Investigation of the Co-regulation between Perceived Daily Parental Warmth and Adolescent Attention-deficit/hyperactivity Disorder Symptoms,Longitudinal research demonstrates that child ADHD symptoms and behaviors exhibit reciprocal associations with parenting behaviors over time. Howev...,2025-03-17T22:36:59.404103,2025-03-17T22:51:43.347958,2025-03-17T22:49:18.395449,,"ADHD, behavioral discipline, daily diary, dynamical systems, intensive longitudinal data, parental warmth",https://osf.io/preprints/psyarxiv/g8kzc_v1/,N/A,N/A,"adhd, adolescen"
p8xfz_v1,Neuromodulation for Tourette syndrome: Current Techniques and Future Perspectives,"Gilles de la Tourette syndrome (TS) is a chronic tic disorder characterized by both motor and vocal tics, with onset in childhood. Neuropsychiatric...",2025-02-27T00:11:27.852800,2025-02-27T00:18:02.787214,2025-02-27T00:16:46.521485,,,https://osf.io/preprints/psyarxiv/p8xfz_v1/,N/A,N/A,
uma8g_v3,Therapeutic Supports in Autism:  A Survey of Perspectives from Autistic Adults and Parents of Autistic Children,"Autism, a neurodevelopmental disorder with diverse presentations, attracts a range of behavioural and biomedical therapeutic options that are varie...",2025-02-25T04:16:52.863595,2025-02-25T04:20:41.409211,2025-02-25T04:18:17.525643,,"autism, behavioural, biomedical, lived experience, perspectives, therapeutics",https://osf.io/preprints/psyarxiv/uma8g_v3/,N/A,N/A,"autis, adult"
m7jw4_v1,A Systematic Review of Loneliness Prevalence and Risk Factors in Autistic Children and Adolescents,Emerging research suggests that autistic people frequently experience loneliness. Young autistic people may be particularly vulnerable due to the g...,2025-02-11T19:58:58.919874,2025-02-11T20:03:55.536799,2025-02-11T20:00:49.622350,,"Adolescence, Autism, Friendship, Loneliness, Social Connection",https://osf.io/preprints/psyarxiv/m7jw4_v1/,N/A,N/A,"autis, adolescen"
gs3u2_v1,High rates of Parkinson’s Disease diagnosis in the autistic population: true  co-occurrence or a product of overlapping traits?,"Older autistic adult literature is sparse, and little is known about the aging autistic population. However, recent evidence suggests an increased ...",2025-02-07T15:14:23.215272,2025-02-07T15:20:41.352846,2025-02-07T15:17:33.282835,,,https://osf.io/preprints/psyarxiv/gs3u2_v1/,N/A,N/A,"autis, app, adult"
a5geh_v1,A Multivariate Analysis Reveals Benefits of Specific ADHD Characteristics in Trial-and-Error Learning,"Attention Deficit Hyperactivity Disorder (ADHD) impacts academic and occupational performance through symptoms of impulsiveness, hyperactivity, and...",2025-01-27T12:42:47.705267,2025-01-27T12:55:42.192707,2025-01-27T12:52:11.480179,,"ADHD, Executive Functions, Multivariate Analysis, Trial-and-error, Virtual Tools",https://osf.io/preprints/psyarxiv/a5geh_v1/,N/A,N/A,"adhd, attention deficit"
nj9b8_v1,The vulnerability of autistic adults to criminal exploitation: Mismatches between legal defense arguments and empirical data,Defense attorneys for autistic criminal defendants sometimes argue that difficulties inferring others’ intentions and motivations—often referred to...,2025-01-06T05:58:04.700321,2025-04-15T23:14:01.061004,2025-01-06T06:03:41.377096,,,https://osf.io/preprints/psyarxiv/nj9b8_v1/,N/A,N/A,"autis, adult"
xdej8_v1,Subclinical hypomania in youth and bipolar disorder: a phenotypic continuum? A critical review,Bipolar disorder (BD) is characterised by episodes of mania and hypomania (the less severe presentation of mania). (Hypo)manic symptoms include ele...,2024-12-18T11:29:49.065877,2024-12-18T11:38:40.481347,2024-12-18T11:38:11.209750,,,https://osf.io/preprints/psyarxiv/xdej8_v1/,N/A,N/A,
8vg92_v1,The vulnerability of autistic adults to criminal exploitation: Mismatches between legal defense arguments and empirical data,Defense attorneys for autistic criminal defendants sometimes argue that difficulties inferring others’ intentions and motivations—often referred to...,2024-12-15T23:23:57.877844,2025-01-06T05:56:54.763729,2024-12-15T23:32:46.703353,,,https://osf.io/preprints/psyarxiv/8vg92_v1/,N/A,N/A,"autis, adult"
ck6m8_v1,Exploring the barriers and facilitators of school success for autistic adolescents in mainstream schools using qualitative methods,"In the UK, most autistic pupils are educated in mainstream schools. However, evidence shows that autistic pupils are more likely to experience lowe...",2024-12-09T15:51:42.278587,2024-12-09T15:59:41.086318,2024-12-09T15:59:24.511772,,,https://osf.io/preprints/psyarxiv/ck6m8_v1/,N/A,N/A,"autis, adolescen"
terzg_v1,Conducting inclusive interviews with autistic children and young people: A methodological guide.,"This paper provides a reflective, methodological guide for researchers conducting inclusive interviews with autistic children and young people – a ...",2024-11-12T22:40:43.385225,2024-11-13T12:52:44.576906,2024-11-12T22:51:47.087981,,,https://osf.io/preprints/psyarxiv/terzg_v1/,N/A,N/A,"autis, young people"
zw3hj_v1,Social Context Matters for Turn-Taking Dynamics: A Comparative Study of Autistic and Typically Developing Children,Engaging in fluent conversation is a surprisingly complex task that requires interactants to promptly respond to each other in a way that is approp...,2024-11-06T11:02:54.143989,2025-03-06T13:19:01.336548,2024-11-06T11:40:48.111314,,"autism, Bayesian modeling, child-adult communication, child development, children, communication development, conversation, face-to-face, familiarity, interactional dynamics, interpersonal dynamics, parent-child interaction, response latency, response timing, social cognition, social interaction, telephone, turn-taking",https://osf.io/preprints/psyarxiv/zw3hj_v1/,N/A,N/A,"autis, app, adult"
eqbxz_v1,“It’s how we get by in a world that doesn’t make sense to us”: An interpretative phenomenological analysis of autistic adults’ views about kindness,"According to the traditional medical model, “social deficits” are hallmark characteristics of autism. Some have suggested that this necessarily lim...",2024-09-27T17:10:51.325747,2024-09-27T18:13:40.514851,2024-09-27T18:13:17.551131,,"altruism, autism, empathy, hyper-empathy, interpretative phenomenological analysis, kindness, norms, qualitative research, rules, theory of mind",https://osf.io/preprints/psyarxiv/eqbxz_v1/,N/A,N/A,"autis, adult"
